评论ID,分词结果
275097212704,为什么 我 又 回来 了 我 长大 了
274684192384,章鱼 是 软体动物 但 梦想 让 他 有 了 脊柱
274676597392,再见
273271488625,为什么 评论 这么 少
274178632465,七千 多条 呢
274722403681,回复 : 比不上 派大星 的 九 万多
274745921393,回复 : 如果 早 一点 的话 应该 会 的
277362870833,一个 残酷 的 事实 到 了 能 理解 章鱼 哥 的 时候 没 多少 人能 刷 B 站 了 反过来说 能 经常 刷 B 站 的 大概 更 希望 像 派 大星 一样 肆意 吧
273222092689,泪目 了
274522203520,纵使 现实 欲 将 我们 击垮 也 要 坚持 最初 的 理想 人生 不如意 事 十之八九 但 我们 能 做 的 是 面对 生活 接受 社会 的 一切 在 现实生活 里 为 理想 付诸 切实 的 行动 直到 有 一天 成为 我们 理想 的 模样 章鱼 哥 愿君 生 羽翼 一化 北溟 鱼
274374213536,三年 前 流泪 了 时隔 三年 再 来 再次 流泪 了 我 已经 忘 了 上 一次 肆无忌惮 的 哭 是 什么 时候 了
274374286336,不 说 了 两个 硬币
273065339857,孤独 的 天才 只 为 自己 流泪
274333382064,章鱼 没有 脊椎 梦想 支撑 起 了 他 的 躯体
274312282368,现在 还有 人 吗
274138305936,五年 多 了
274099369936,每 一次 看 都 有 不 一样 的 感觉
273065605537,是 啊 越来越 惨 越来越 糟
274016522704,明天 会 更好 但 前提 是 要 有 明天 活在 今天 的 人 不会 更好
272564324593,这个 更好 一些
272462890369,2025 年 50 刷
272338316401,请问 两分 半处 吹 笛子 的 音乐 叫 什么
271965911409,明明 是 只 章鱼 却 活得 像 个人
273108096256,章鱼 本 没有 脊椎 . 梦想 是 支撑 他 的 脊梁
271729820145,如果 你 没有 出生 在 越南
273007686112,又 回来 看 了 一遍 这才 是 B 站 啊 现在 完全 没有 当年 那个 味 了
271812985841,怀念 那个 时代
271675464753,原来 已经 过 了 五年 了 吗
272750764064,这里 埋葬 的 是 我 的 梦想
271427820961,章鱼 本 没有 脊骨 梦想 是 他 的 脊梁
271368429505,我 为 我 的 快乐 幸福 天真 梦想 爱情 希望 童年 举行 葬礼
272638389952,为什么 海绵 宝宝 经久不衰 因为 我们 总能 在 其中 看到 我们 自己 的 影子 我们 的 童年 就 像 海绵 宝宝 和 派 大星 自由自在 无忧无虑 这时候 的 我们 讨厌 蟹 老板 的 唯利是图 我们 嘲笑 痞 老板 和 电脑 谈 了 恋爱 我们 讨厌 章鱼 哥 的 做派 我们 讨厌 泡 芙 老师 的 固执 长大 后 我们 又 成为 了 他们 的 其中 一个 有 的 人 成为 了 蟹 老板 唯利是图 竭尽全力 的 敛财 但 我们 也 知道 他 是 为了 他 的 家庭 在 以后 的 日子 里 过 的 快乐 幸福 及时 遇到困难 也 可以 用钱 来 渡过 有 的 人 成为 了 痞 老板 将 自己 的 真实 内心 麻痹 在 虚拟 的 世界 里 但 我们 也 知道 他 是 被 太 多 的 人伤 过 他 付出 了 太 多 的 真心 却 一无所获 为了 寻求 安慰 才 不得不 如此 更 多 的 人 成为 了 章鱼 哥 平凡 而 普通 厌恶 自己 的 工作 厌恶 唯利是图 的 老板 厌恶 吵闹 的 邻居 但 我们 也 知道 他 归根结底 是 厌恶 自己 厌恶 自己 为什么 不能 实现 自己 的 梦想 厌恶 自己 不满 于 现状 却 无法 改变 的 弱小 或许 当 我们 老 了 我们 就 会 变成 泡 芙 老师 多年 的 风雨 打磨 也许 会 让 我们 也 变得 麻木 而 固执 看 啊 无论 何时 我们 都 能 在 其中 找到 自己 的 影子 也许 这 也 正 印证 了 那句话 真正 动人 的 不是 故事 而是 故事 里 有 你
272620542240,给 我 干 哪来 了
271276397953,音无结 弦 之 时悦动 天使 之心 立于 浮夸 之世 奏响 天籁 之音
271221734961,讨厌 章鱼 哥 理解 章鱼 哥 成为 章鱼 哥
271217759345,喜欢 海绵 宝宝 不过 是 喜欢 它 的 天真 罢了
272475635520,小时候 真的 不 喜欢 章鱼 哥 怎么 看着 那么 颓废 现在 回旋 镖 打 到 自己 身上 了 自己 才 是 章鱼 哥
271197069825,考古
271173351393,章鱼 没有 脊柱 但是 他 的 梦想 支撑 起 他 挺起胸来 有 谁 还 记得 章鱼 哥 梦想 成为 一个 有名气 的 竖笛 演奏家 但是 他 必须 要 在 蟹 堡 王 工作 营生 没有 时间 去 完成 他 的 梦想
271467160369,他 没有 资本 去 支持 他 的 梦想 当 他 有 了 足够 的 资本 后 他 也 老 了 没 时间 了
271138758017,本 在 看到 前面 时 我 并 没有 哭 但 每次 一 听到 章鱼 哥 吹 竖笛 我 就 开始 落泪 他 明明 是 最好 的 艺术家 演奏 出 了 世界 沧桑 让 人 止不住 的 落泪 你 是 最好 的 艺术家 站 起来 吧 小章鱼 创作 出 自己 的 艺术
271114632561,章鱼 哥 葬送 的 梦想
271041842977,再 看 还是 经典
272287510240,法老 的 歌 是不是 歌词 和 这个 雷同 好多
271023380241,小时候 觉得 章鱼 哥 很 贱长 得 跟 个 怪物 似的 现在 才 发现 只有 唱歌 是 比奇 堡 唯一 正常 的 居民
272276601024,小时候 觉得 比基 堡 海滩 就 章鱼 哥 不 正常 其实 章鱼 哥才 是 人们 的 常态
272276316944,引流
270958635953,2020 年前 的 吗 有点 意思
270948047889,前来 考古 感觉 又 有 了 新 的 感悟
270880535185,考古
270875022049,2025 年来 考古
270857090497,5 年 了 又 回来 了
270823992305,以前 看 海绵 宝宝 是 看个 乐 呵 现在 看 海绵 宝宝 我 感觉 我 就是 那个 章鱼 哥
270809630801,来 看看 我 剪 的 章鱼 哥 谢谢 我 想 把 童年 的 回忆 带给 每个 人 谢谢 啦
272026550928,上次 看到 这个 视频 还是 五年 前 时间 过得 好 快
270767600817,章鱼 威廉 挺 喜欢 你 的
271987671616,同样 的 镇 站 级别 的 视频 @
270760179441,我 记得 有个 场景 是 章鱼 哥 通过 窗户 看到 海绵 宝宝 和 派 大星 在 外面 开心 的 跑来跑去
271902434336,章鱼 哥是 衬托 主角 我们 不 也 多 是 过客 吗
270548526241,来 看看 我 剪 的 章鱼 哥 谢谢 我 想 把 童年 的 回忆 带给 每个 人 谢谢 啦
270532188497,考古 来 了
271776086672,为什么 点 不了 赞
270773000321,点 两下 就行了
271742784448,跟 法老 明天 是 美好 的 一天 挺 像
272584274145,原作 就是 傲木 法老 唱 的 时候 标注 了
271719915744,如果 这个 也 参加 了 黄绿 合战 那 绝对 和 派 大星 的 独白 并称 比奇 堡 两 大战 神
270408139729,我来 了
270312237057,那天 夕阳 下 的 奔跑 那 是 我 逝去 的 青春
270235342641,章鱼 哥 就是 太 聪明 了 海绵 宝宝 派大星 那种 对 世事 不 关心 的 人会 很快 乐章 鱼哥 正是 因为 想 的 太 多 所以 才 不 快乐
270152553745,往 好处 想 至少 章鱼 哥 不用 给 彩礼 因为 根本 没有 人爱 他
271377301792,章鱼 哥有 我爱你
271199170848,为什么 时隔 五年 才 火 啊 哈哈哈哈 哈哈哈
270088673569,一直 都 挺 火 的 这 貌似 是 我 下载 B 站 以来 收藏 的 第一个 视频 现在 眨眼 五年 过去 了 连 我 的 B 站 账号 都 LV 6 了 唉 时间 过得 真快 呀
270106624833,20 年 那会 热度 播放 量 就 不 低 不 懂 在 说 什么
269936821057,考古
269881779425,海绵 宝宝 好像 是 大多数 人 儿时 天真无邪 的 模样 而 章鱼 哥是 好多 的 大人 在生活中 艰难 前行 的 身影
269803248801,考古 大神
269588592785,章鱼 哥 还有 一个三层 小别墅 呢
270690221248,我 希望 正在 读 这句 话 的 人 永远 开心
269391134881,童年 绝杀 了 现在 的 自己
269349182577,在 虚伪 的 世界 待久 了 连 自己 是 谁 都 已经 认不 清楚 了 难道 这 正常 吗 有钱 有 权利 的 站 在 经济 权利 法律 的 制高点 对 普通 老百姓 指手画脚 这 tm 叫 正常 我 * * * 去 n 个 鸟 屎 狗屁 吊
270134650640,开场 有 什么 比 把 快乐 带给 别人 更 快乐 的 呢 去 死 或者 别的 什么 我 不 知道 你 对 这个 有 这么 强烈 的 感觉 你 要 干什么 我 想 我 无法 阻止 你 但是 章鱼 哥 外面 是 一个 冷酷 ...
269959134192,回味
269665154784,你们 的 梦想 是 什么 我 的 梦想 是 当 一名 画家 说说看 你 的 梦想 是 什么
269486729136,长大 后 觉得 是 在 看 自己 果然 人 的 三观 会 随着 年龄 变化
269087030752,转眼间 已 理解 章鱼 哥
268754772320,太 喜欢 了
267533232801,原来 快乐 这么 简单 啊 为什么 我 体会 不到 呢
268610353248,一遍 遍翻 更 多 这些 内容 只是 想 在 内容 里 看到 有 希望
268451722032,祝 不 完美 的 明天
268154332256,讨厌 章鱼 哥 理解 章鱼 哥 成为 章鱼 哥
268124535168,老 艺术家
266950548385,我刚 看 的 时候 才 几万 播放 量
268056084288,章鱼 没有 脊柱 梦想 支撑 了 他 的 躯体
266898271697,来 看看 我 剪 的 章鱼 哥 吧 谢谢
267855684448,配乐 名字 叫 啥
267710001904,章鱼 哥是 章鱼 是 软体动物 梦想 却 给 了 他 脊柱 但 上帝 狡诈 让 他 没 了 梦想 只能 垂丧 无力 的 生活
266505441409,章鱼 哥 亲自 埋葬 了 他 的 梦想
267482150528,小时候 可以 是 派 大星 也 可以 是 海绵 宝宝 长大 了 就是 章鱼 哥 被 谢 老板 压榨 想 做 自己 想 做 的 事 却 又 迫不得已
267217651904,准时 吃
266129575361,我 已经 看过 好 几次 类似 的 了
267232775408,回复 : 我 也 看过 不过 十二点 准时 赤
266127591025,为啥 在 吹 笛子 时 弹幕 要 刷 小奏 的 应援 词 啊 有 啥 关联 吗
267159821840,嘲笑 章鱼 哥 理解 章鱼 哥 成为 章鱼 哥
266002105185,再见 朋友 们
266973045424,播放 量 1508 万
265865837617,明天 一定 会 更 美好 更 美丽 的
266901758240,初 听 不知 曲 中意 再 听 已 是 曲中人
265524668385,来 看看 我 剪 的 章鱼 哥 吧 谢谢
266592650064,明天 是 美好 的 一天
266592115712,明天 是 美好 的 一天
266566194064,章鱼 哥 一身 软骨 他 的 梦想 却 为 他 竖起 独属 他 的 傲骨
266398871024,谁 小时候 就 喜欢 章鱼 哥
265289212257,来 看看 我 剪 的 章鱼 哥 吧 谢谢
266384843504,好 的
266385742096,嘿 伙计 你 tnnd 可 真是 个 天才
265278584257,命运 真是 幽默 我 穷尽 一生 所 追求 的 所 争取 的 不过 是 某人 的 起点
266258726784,就是 单纯 的 正常人 理解 不了 精神病 的 快乐
265968906304,我 的 命运 或者 在 我 出生 时 就 决定 好 了 可 哪 又 有 什么 意义 呢 我 吧 以前 的 自己 给 埋葬 但 我 并 不想 这样
264843810129,为什么 大家 都 讨厌 章鱼 哥 因为 那 是 成年 的 自己
264702267569,谁 能比 这个 黄色 海绵 更 热爱 上班
264540409281,说 的 不 就是 我 吗 呜呜 呜
265543727120,看吧 没有 人会 想 成为 章鱼 哥 这样 的 可是 我 想 他 的 朋友 和 家人 一个个 都 很 爱 他
265515898864,再见 朋友 愿 我们 永远 忆 当年
265441848608,章鱼 是 软体动物 梦想 让 它 有 了 脊梁
264281293537,看 最 幼稚 的 动画 懂 最 深刻 的 的 道理
265181862416,我 浏览 了 好 多家 瑞幸 章鱼 哥 他们 都 不要 你
263917367953,章鱼 哥是 艺术家
264813574976,真 好听 尤其 是 那个 笛子 声 深深 印在 我 的 心里
264689514448,章鱼 寿命 10 - 20 年 海绵 寿命 2000 - 11000 年 怎么 相互理解
265098032720,动画片 别太 较真
264549876656,大家 都 是 章鱼 哥
263387849329,中间 插 的 那段 音乐 叫 什么 名字
263313449537,以为 他 很 癫 没想到 那 是 我们 的 常态
263181846017,唉 回旋 镖
264175241872,新 一辈 都 在 用 AI 了 只有 老一辈 还 在 用 活字印刷术
264121541200,原来 已经 过 了 这么 多年 了 啊
264113067504,感觉 比 奇尼 的 鱼 都 不是 很 正常 包括 章鱼 哥
263013262689,现在 回头一看 海绵 宝宝 的 精神 纯属 有病
263002087649,我来 考古 了
262925374001,我 眼睁睁 看着 昔日 的 好友 粉丝 一天 一天 的 飞张 可 我 又 能 改变 什么 了 我 当时 为什么 手贱 创造 这个 账号 为什么 当时 非要 去 当 这个 跳梁小丑 或许 我 当时 没有 创造 这个 账号 这 更好 吧
263485230224,"沒有 什麼 是 永遠 糟糕 下去 的 , 未來 一定 很 好 , 正在 努力 的 妳 , 也 是 顶住 压力 向 光而行 慢慢来 所有 的 顺境 和 逆境 前行 的 路上 , 永远 做 自己 的 光"
263483789184,我 每天晚上 都 会 来看 一遍 因为 我 想 让 自己 变成 像 章鱼 哥 这样 的 人
263285223472,泪目
263265717232,明天 一定 更 美好
263078417408,连 幸福 也 只能 窥探 别人 的
263078262304,小时候 刷到 海绵 宝宝 伤感 视频 不 知道 为什么 一部 搞笑 的 动画片 会 这么 伤感 到 后来 才 明白 原来 我 和 章鱼 哥 一样 是 一个 普普通通 的 人 一样 的 孤独 一样 的 质朴 想要 成为 和 海绵 宝宝 那样 有 很多 朋友 每天 都 很 开心
263078335024,晚安 明天 会 更好
263078484544,这个 视频 是 上课 的 时候 数学老师 放 的 当时 看 完 真的 特别 有 感触 不过 现在 好 了 点 现在 我 已经 在 慢慢 的 放开 自我 有 很多 真心 的 朋友 内心 不再 敏感 慢慢 的 接受 更 多 现实 希望 你们 也 一样
263077408880,终究 还是 尝到了
263037528240,泪水 目
261951234129,越是 期望 越是 迎来 失望
262830312352,小时候 看见 章鱼 哥 总是 觉得 他 不可理喻 为什么 总 要 针对 海绵 宝宝 长大 后 再 来看 或许 我 碰到 那么 一个 无忧无虑 的 人 也 会 生气 嫉妒 的 吧 章鱼 哥 不过 是 我们 在 另 一个 次元 的 自己 罢了
261754115777,原来 2020 年 都 是 五年 前 了 感觉 好像 没过多久 一样
261709986225,蓦然回首 你 的 目光 还 能 触及 梦想 吗
261634499505,等一等 我 的 灵魂
261594397281,快乐
261587914801,我 喜欢 章鱼 哥 的 最大 原因 就是 就算 不 被 生活 待见 无法 实现理想 做 着 自己 不 喜欢 的 工作 难得 的 休息日 也 经常 被 打搅 天天 抱怨 他 还是 会 把 披萨 拍到 不 礼貌 的 客人 脸上 会 把 所有 家当 送出去 只是 为了 哄 海绵 宝宝 开心 会替 海绵 宝宝 打抱不平 始终 拥有 一颗 善良 的 心
261552356577,我 靠 越 长大 想 死 的话 越 说 越 多 想 死 的 心 越来越 强
262499378816,章鱼 哥才 是 大多数 人 的 样子 海绵 宝宝 这类 的 太 少见 了
262481958256,考古
262411162576,讨厌 章鱼 哥 理解 章鱼 哥 成为 章鱼 哥
261437551297,每年 一遍 会 有 不同 感悟
261434891249,太 洗脑 了 以前 看 海绵 宝宝 觉得 章鱼 哥才 是 最惨 的
262358373376,最 怕 鬼畜 动情
262279966080,多年 之后 再 来看 这个 视频 依然 是 神作
262265405072,我们 甚至 可能 跟 章鱼 哥 一样 坟墓 都 不配 拥有 我们 可能 只能 互相 抱团 取暖 或许 连 抱团 取暖 都 不配 拥有
262261373600,不怕 番 剧发 了 刀 就 怕 鬼畜 动 了 情
262349928496,回复 :
262261104048,再度 回到 了 这里
261303941233,世界 在 一些 人 眼前 是 寡淡 无味 的 但 那 并 不是 你 我 的 问题 反而 正 因此 更 应该 毫无保留 的 爱 自己 世界 如果 色彩 暗淡 那 就 该 由 我们 给予 自己 人生 中 最 光鲜 的 色调
262073240864,音无结 弦 之 时悦动 天使 之心 立于 浮夸 之世 奏响 天籁 之音
261066935057,音无结 弦 之 时悦动 天使 之心 立于 浮华 之世 奏响 天籁 之音
261841736416,泪目
261817857680,为什么 我 的 弹幕 上 全都 是 图图 一家 什么 的 bug 了 吗
260802534097,重温 经典
260738190273,真的 不想 承认 章鱼 哥 有时候 真的 好 可怜 好惨
261587932688,没想到 这 竟然 是 5 年前 的 视频 了
261503184192,虽然 没有 派大星 的 流畅 章鱼 哥 和 这首 曲子 的 配合 也 不怎么 好 可是 它 充实 又 能 和 人共情 的 内容 成为 了 它 最强 的 武器
261436975488,讨厌 章鱼 哥 理解 章鱼 哥 成为 章鱼 哥
261428442944,海绵 宝宝 也 清楚 的 很 其他人 都 算不了 朋友 成 章鱼 哥 反而 是 真的 朋友 起码 是 说 真话 而且 也 从来 没有 离开 海绵 宝宝 甚至 还会 想念
261402960432,音无结 弦 之 时悦动 天使 之心 立于 浮夸 之世 奏响 天籁 之音
261314785312,谁 的 人生 不是 这样 的
261252357408,有 什么 比 把 快乐 带给 别人 更 快乐 的 呢 把 快乐 带给 大家 是 一件 很酷 的 事
261241727104,我 是 章鱼 哥
260268741665,世人 皆 笑 章鱼 哥 世人 皆 是 章鱼 哥
260213383633,是不是 只有 我 觉得 章鱼 哥 吹 的 很 好听 啊 不 知道 为什么 比奇 堡 的 大家 都 觉得 很 难听
260210577121,这 不是 我 吗
260874349552,派大星 的 独白 一个 关于 正常人 的 故事 - 哔哩 哔哩 助力 破 亿
260867354816,你 今天 累坏 了 小章鱼
259946366673,今夕 是 何年
259911472353,原来 我 只是 章鱼 哥
259852812097,2025 年 4 月 19 日 84.4 万个 赞
260346615888,找 不到 工作 的 我
260306045360,初看 不识 画中人 再 看 已经 结束 了
259328476177,我 总以为 我 还是 个 小孩 但 我 一 想到 我 三年 后 就 上 大学 了 就 绝望
259258647457,这 是不是 法老 那个 歌 的 灵感 来源 啊
261252665632,词 差不多 一样
260052154640,章鱼 哥有 独栋 多层 别墅 有 自己 的 兴趣爱好 可以 坚持 有 一份 稳定 且 不必 风吹日晒 的 工作 而 你 我 的 朋友 你 连 这些 都 没有
259136476449,最 正常 的 就是 章鱼 哥
258982118017,法老 也 有 首歌
258813117073,我 是 说 BGM
258780535425,孩子 们 既然 b 站 不 给 非常 牛 逼 的 视频 推流 那 我 就 自己 分享 到 每个 一个 视频
258777476929,章鱼 哥 吹 的 竖笛 叫 什么
259722422481,阿婆 主 怎么 还 没有 复活
258522644817,章鱼 哥 章鱼 哥 我 活成 了 你 啊 我 理解 你 了 啊
258369604161,李易 老师 配 的 章鱼 哥是 最 有 灵魂 的 怀念 李易 老师
259650060048,好 几次 见到 你 了
259034979136,只能 说 章鱼 哥 更 接近 大多数 人 的 现实 状态 海绵 宝宝 这种 有点 理想化 了
259027080528,一个 左脑 麻木 右脑 清醒 的 天才
259014786864,就 连 官方 也 不 喜欢 章鱼 哥
258121547665,其实 章鱼 哥 对 小 海绵 很 好 的 以前 还 为了 保护 他 跟 别人 打 起来 了
258618264112,每次 听到 这个 都 还是 会 感到 迷茫 啊
258483326736,醒 一醒 明天 还是 今天 未来 每 一天 都 是 今天
258423505952,我 现在 都 跟 跟 章鱼 哥 一样 当牛马 被 上司 压榨
