评论内容,分词结果
普通人可以在理性上理解抑郁症患者但是没办法共情对一件事的理解会导向完全不同的结论,普通人 可以 在 理性 上 理解 抑郁症 患者 但是 没 办法 共情 对 一件 事 的 理解 会 导向 完全 不同 的 结论
感觉我还留在深海上映的那一年,感觉 我 还 留在 深海 上映 的 那 一年
报看看一半看不下去了,报 看看 一半 看不下去 了
感觉和少年派的奇幻漂流很像,感觉 和 少年 派 的 奇幻 漂流 很 像
我记得之前电影院看完深海出来还是哭的不行极致的感官体验给我糅杂在一起的情绪得到了一个宣泄让我赞叹不已看到电影如此两极分化也是我没想到的但我在这里是一部不可多得的意识流电影如果一部电影能完全调动你的感官的确不失为一部优秀创作的电影距离看这部电影已经好久了还是看到最近哪吒2感觉烂很失望想到了这部让我观影体验很好的深海很感谢up给喜欢这部电影的人做的讲解视频以及导演对深海的潜心创作观众是永远不会忘记这些好作品的因为我们忠于自己的感受不被时代裹挟也更加渴求优秀的精神食粮,我 记得 之前 电影院 看 完 深海 出来 还是 哭 的 不行 极致 的 感官 体验 给 我 糅杂 在 一起 的 情绪 得到 了 一个 宣泄 让 我 赞叹不已 看到 电影 如此 两极分化 也 是 我 没想到 的 但 我 在 这里 是 一部 不可多得 的 意识流 电影 如果 一部 电影 能 完全 调动 你 的 感官 的确 不失为 一部 优秀 创作 的 电影 距离 看 这部 电影 已经 好久 了 还是 看到 最近 哪吒 2 感觉 烂 很 失望 想到 了 这部 让 我 观影 体验 很 好 的 深海 很 感谢 up 给 喜欢 这部 电影 的 人 做 的 讲解 视频 以及 导演 对 深海 的 潜心 创作 观众 是 永远 不会 忘记 这些 好 作品 的 因为 我们 忠于 自己 的 感受 不 被 时代 裹挟 也 更加 渴求 优秀 的 精神食粮
确实后半段全部伏笔爆发出来哭了半个小时感觉情感宣泄得很畅快这部电影真挺好的太可惜了,确实 后半段 全部 伏笔 爆发 出来 哭 了 半个 小时 感觉 情感 宣泄 得 很 畅快 这部 电影 真挺 好 的 太 可惜 了
懂得人爱不释手不懂的人很幸福也很幸运,懂得 人 爱不释手 不 懂 的 人 很 幸福 也 很 幸运
在我心中和寻梦环游记坐一桌,在我心中 和 寻梦 环 游记 坐 一桌
哭死,哭 死
中国动漫影史上最高的山,中国 动漫 影史 上 最高 的 山
当年最后那一段我一直忍着没哭因为电影院太多人了,当年 最后 那 一段 我 一直 忍着 没 哭 因为 电影院 太多人 了
23年春节档看的真的太压抑了至今不敢看第二遍,23 年 春节 档 看 的 真的 太 压抑 了 至今 不敢 看 第二遍
不爱看国产动画今天被震撼到了,不 爱看 国产 动画 今天 被 震撼 到 了
最好看的电影没有之一导演你要加油你是最棒的,最 好看 的 电影 没有 之一 导演 你 要 加油 你 是 最 棒 的
好看没感觉剧情浅薄感觉剧情很不错,好看 没 感觉 剧情 浅薄 感觉 剧情 很 不错
耐人寻味,耐人寻味
今天在B站上看前五分钟眼睛就要袅袅了当时到底是谁说深海不好看的,今天 在 B 站上 看前 五分钟 眼睛 就要 袅袅 了 当时 到底 是 谁 说 深海 不 好看 的
"我影院看了一遍泪目了今天B站又看了一遍又泪目了我感觉这部电影就是一个""大人""在拯救ta的""童年""或者说相互救赎的内容家庭美满的人可能不会产生共鸣但一但产生了共鸣就会发现""参宿""和""南河""在生活中无处不在但他们不会互相救赎这就是现实吧","我 影院 看 了 一遍 泪目 了 今天 B 站 又 看 了 一遍 又 泪目 了 我 感觉 这部 电影 就是 一个 "" 大人 "" 在 拯救 ta 的 "" 童年 "" 或者说 相互 救赎 的 内容 家庭 美满 的 人 可能 不会 产生共鸣 但 一 但 产生 了 共鸣 就 会 发现 "" 参宿 "" 和 "" 南河 "" 在生活中 无处不在 但 他们 不会 互相 救赎 这 就是 现实 吧"
不行了隔了几年看到这个视频又忍不住哭了太上头了极致的情绪感人对情感的记忆比较深刻就像我看了一本小说几年过去我可能记不清主角的名字结局甚至故事讲了什么但我还能记得我当时看小说觉得好看的感觉,不行 了 隔 了 几年 看到 这个 视频 又 忍不住 哭 了 太 上头 了 极致 的 情绪 感人 对 情感 的 记忆 比较 深刻 就 像 我 看 了 一本 小说 几年 过去 我 可能 记不清 主角 的 名字 结局 甚至 故事 讲 了 什么 但 我 还 能 记得 我 当时 看 小说 觉得 好看 的 感觉
好看无需多言我感到最可惜的就是我没在电影院看,好看 无需 多言 我 感到 最 可惜 的 就是 我 没 在 电影院 看
其实我很希望参宿不要醒来现实这么痛苦不知道她该怎么走人生最后一刻依然是美丽的梦也是个不错的结局,其实 我 很 希望 参宿 不要 醒来 现实 这么 痛苦 不 知道 她 该 怎么 走 人生 最后 一刻 依然 是 美丽 的 梦 也 是 个 不错 的 结局
原版结局就是这个审核不过才改的改了之后真的很怪,原版 结局 就是 这个 审核 不过 才 改 的 改 了 之后 真的 很怪
为了救你都搭上一条命了还要cs执迷不悟,为了 救 你 都 搭 上 一条 命 了 还要 cs 执迷不悟
我同意,我 同意
看过一遍这个电影 看得很压抑身体有一股气出不来的感觉,看过 一遍 这个 电影 看得 很 压抑 身体 有 一股 气 出不来 的 感觉
在深海这幅电影里面我看见了很多宫崎骏的影子深海大饭店我第一个想到的就是千与千寻南河让我想到的是哈尔的移动城堡毕竟哈尔也是情绪不稳定就会突然变身而且其实他们发型还挺像的,在 深海 这 幅 电影 里面 我 看见 了 很多 宫崎骏 的 影子 深海 大饭店 我 第一个 想到 的 就是 千与千寻 南河 让 我 想到 的 是 哈尔 的 移动 城堡 毕竟 哈尔 也 是 情绪 不 稳定 就 会 突然 变 身 而且 其实 他们 发型 还 挺 像 的
我四年级侄女说这部电影好恐怖,我 四年级 侄女 说 这部 电影 好 恐怖
无聊的电影,无聊 的 电影
对亲情的悲伤犹如卖火柴的小女孩是人类的集体意识,对 亲情 的 悲伤 犹如 卖火柴 的 小女孩 是 人类 的 集体 意识
这是一部不标准的商业片确实中国电影多元化的好结果多希望中国电影市场可以多元化,这是 一部 不 标准 的 商业片 确实 中国 电影 多元化 的 好 结果 多 希望 中国 电影 市场 可以 多元化
这是当艺术走向大众的一个时代悲剧,这 是 当 艺术 走向 大众 的 一个 时代 悲剧
很难受那年在复读的时候看的看前不久第一次看了海边的曼彻斯特后面越来越难受,很 难受 那年 在 复读 的 时候 看 的 看 前不久 第一次 看 了 海边 的 曼彻斯特 后面 越来越 难受
我想知道真的心情不好有心理问题的人会不会因为这个电影而感觉更难过会不会觉得终究还是没有解人生一开始的悲剧只能用生命来终结别无他法会不会因为很多双死的言论认为抑郁症果然治不好所以来到我身边的光终究会消失 我没看想看不好看我最近心态不好喜欢上了唐汉霄老师的歌正处在会放大负面情绪的阶段我更希望看到阳光积极的解决办法更多的希望而不是负面情绪的外部输入请各位影迷朋友给我说一下这个电影适合我现在看吗,我 想 知道 真的 心情 不好 有 心理 问题 的 人会 不会 因为 这个 电影 而 感觉 更 难过 会 不会 觉得 终究 还是 没有 解 人生 一 开始 的 悲剧 只能 用 生命 来 终结 别无他法 会 不会 因为 很多双 死 的 言论 认为 抑郁症 果然 治不好 所以 来到 我 身边 的 光 终究会 消失 我 没 看 想 看 不 好看 我 最近 心态 不好 喜欢 上 了 唐汉霄 老师 的 歌正 处在 会 放大 负面 情绪 的 阶段 我 更 希望 看到 阳光 积极 的 解决办法 更 多 的 希望 而 不是 负面 情绪 的 外部 输入 请 各位 影迷 朋友 给 我 说 一下 这个 电影 适合 我 现在 看 吗
*想看不敢看,* 想 看 不敢 看
有时候哭出来会让自己更好受,有时候 哭 出来 会 让 自己 更好 受
如果你当下依旧在情绪困境中 那深海绝对值得去看 但...像许多人说的一样 过于理性的思维会让观影的&#34;感受&#34;虚浮 但 深海是一部值得二刷的电影 所有的伏笔在结尾得到爆发 而二刷 会让你从一开始便明白一切都是有迹可寻 并非空穴来风_当然 深海是一个带着悲凉色彩的影片 只有认真看丶将自己沉浸在庞大的意识海洋中 才会明白为什么两极分化得那么严重 这几乎是凭个人去感受 但我仍推荐去看 深海值得_算后话了 毕竟...中国不会再有第二个&#34;深海&#34;了_,如果 你 当下 依旧 在 情绪 困境 中 那 深海 绝对 值得 去 看 但 ... 像 许多 人 说 的 一样 过于 理性 的 思维 会 让 观影 的 &# 34 ; 感受 &# 34 ; 虚浮 但 深海 是 一部 值得 二刷 的 电影 所有 的 伏笔 在 结尾 得到 爆发 而二刷 会 让 你 从 一 开始 便 明白 一切都是 有迹 可 寻 并非 空穴来风 _ 当然 深海 是 一个 带 着 悲凉 色彩 的 影片 只有 认真 看 丶 将 自己 沉浸 在 庞大 的 意识 海洋 中 才 会 明白 为什么 两极分化 得 那么 严重 这 几乎 是 凭 个人 去 感受 但 我 仍 推荐 去 看 深海 值得 _ 算后 话 了 毕竟 ... 中国 不会 再有 第二个 &# 34 ; 深海 &# 34 ; 了 _
我也是抑郁症患者我觉得还是可以看的这个电影是开放性结局并没有明确说是双死我更想理解为参宿还活着那么南河就是她活着的光也是人性之光我认为这片想传达出的并不是负面而是想借南河拯救了参宿来告诉我们生命是有意义的世界还是有美好和光亮的,我 也 是 抑郁症 患者 我 觉得 还是 可以 看 的 这个 电影 是 开放性 结局 并 没有 明确 说 是 双死 我 更 想 理解 为 参宿 还 活着 那么 南河 就是 她 活着 的 光 也 是 人性 之光 我 认为 这片 想 传达 出 的 并 不是 负面 而是 想 借 南河 拯救 了 参宿来 告诉 我们 生命 是 有 意义 的 世界 还是 有 美好 和 光亮 的
本人患过精神分裂住院intj认知共情强情感共情弱看妈妈再爱我一次忠犬八公等等啥感觉没有看了海德格尔的存在与时间在街上看个路人我都忍不住掉眼泪我可以大致和你描述一下我看这部电影是什么感觉 深海这部电影就类似一粒催吐胶囊药丸有的人不假思索吞太快直接从大肠整颗排出去了像是来买票听了一节高等量子力学有的人喜欢一直含在嘴里胶囊化开舌头会发苦之后那些人并不会想着吞进去正常回归到美好生活观影感觉就像是某日听了一场柴可夫斯基的第六交响曲一样偶然被催泪而像我这样人的话就是会习惯吞进消化系统里品尝药物会慢慢在胃里散开产生效果然后会让你非常难受地干呕呕吐忍不住把胃里装满的恶心东西通通吐完然后会觉得整个人都非常舒服舒畅所以这部电影的药效便就被真正发挥了,本人 患过 精神分裂 住院 intj 认知 共情 强 情感 共情 弱 看 妈妈 再 爱 我 一次 忠犬八公 等等 啥 感觉 没有 看 了 海德格尔 的 存在 与 时间 在 街上 看个 路 人 我 都 忍不住 掉 眼泪 我可以 大致 和 你 描述 一下 我 看 这部 电影 是 什么 感觉 深海 这部 电影 就 类似 一粒 催吐 胶囊 药丸 有 的 人 不假思索 吞太快 直接 从 大肠 整颗 排出去 了 像是 来 买票 听 了 一节 高等 量子力学 有 的 人 喜欢 一直 含 在 嘴里 胶囊化 开 舌头 会 发苦 之后 那些 人 并 不会 想着 吞进去 正常 回归 到 美好生活 观影 感觉 就 像是 某日 听 了 一场 柴可夫斯基 的 第六 交响曲 一样 偶然 被 催泪 而 像 我 这样 人 的话 就是 会 习惯 吞进 消化系统 里 品尝 药物 会 慢慢 在 胃里 散开 产生 效果 然后 会 让 你 非常 难受 地 干呕 呕吐 忍不住 把 胃里 装满 的 恶心 东西 通通 吐 完 然后 会 觉得 整个 人 都 非常 舒服 舒畅 所以 这部 电影 的 药效 便 就 被 真正 发挥 了
到25年我还没走出对深海的触动对我来说太多的感受没什么语言能让我表达出我这人内心的真实且真确的感受,到 25 年 我 还 没 走出 对 深海 的 触动 对 我 来说 太多 的 感受 没什么 语言 能 让 我 表达 出 我 这人 内心 的 真实 且 真确 的 感受
看的时候并没有意识到什么到结尾才知道是梦是什么寓意之类的,看 的 时候 并 没有 意识 到 什么 到 结尾 才 知道 是 梦 是 什么 寓意 之类 的
是幻觉跳海溺死的过程中容易出现幻觉恰好抑郁症本身也会出现幻听幻觉等等特征,是 幻觉 跳海 溺死 的 过程 中 容易 出现 幻觉 恰好 抑郁症 本身 也 会 出现 幻听 幻觉 等等 特征
我觉的参宿不是被海难卷下去的 是跳下去的 孩子有抑郁症 另外深海的意义除了真正的深海 以及意象化的梦境之外 应该也代表着女孩子的内心世界 南河要带她去寻找的海之眼只有他自己能找到 也就是因为这篇深海的最深处 就是少女内心的最深处 南河在不断的引导她 找寻自己内心最深处的世界,我觉 的 参宿 不是 被 海难 卷 下去 的 是 跳下去 的 孩子 有 抑郁症 另外 深海 的 意义 除了 真正 的 深海 以及 意象 化 的 梦境 之外 应该 也 代表 着 女孩子 的 内心世界 南河 要 带 她 去 寻找 的 海之眼 只有 他 自己 能 找到 也 就是 因为 这篇 深海 的 最深处 就是 少女 内心 的 最深处 南河 在 不断 的 引导 她 找寻 自己 内心 最深处 的 世界
還是很喜歡,還是 很 喜歡
敢解读深海真是勇士这电影我只敢看一遍哭死我了,敢 解读 深海 真是 勇士 这 电影 我 只 敢 看一遍 哭 死 我 了
还是深度太高了小孩绝对看不懂所以是大人看的电影特效是好但震撼度不够角色需要美化主角的颜值必须在线这个看一下所有动漫主角动 的颜值必须能有特点然后深度低一点还是难懂,还是 深度 太高 了 小孩 绝对 看不懂 所以 是 大人 看 的 电影 特效 是 好 但 震撼 度 不够 角色 需要 美化 主角 的 颜值 必须 在线 这个 看 一下 所有 动漫 主角 动 的 颜值 必须 能 有 特点 然后 深度 低 一点 还是 难懂
恰恰相反我是觉得特效震撼力十足我在电影院看到粒子水墨风格的特效都傻眼了主角颜值很有魅力我是看了预告被南河的形象吸引反而剧情对于我这个轻度抑郁患者来说真的有点怎么说呢无病呻吟的感觉,恰恰相反 我 是 觉得 特效 震撼力 十足 我 在 电影院 看到 粒子 水墨 风格 的 特效 都 傻眼 了 主角 颜值 很 有 魅力 我 是 看 了 预告 被 南河 的 形象 吸引 反而 剧情 对于 我 这个 轻度 抑郁 患者 来说 真的 有点 怎么 说 呢 无病呻吟 的 感觉
